Prenda,Talla,Color,Precio,Material
Shoes,S,Red,136.58,Cotton
Scarf,XL,Red,64.67,Cotton
Coat,M,Green,157.04,Polyester
Dress,XS,Red,20.58,Cotton
Sweater,M,Yellow,85.73,Polyester
Polo,XS,Blue,64.35,Cotton
Hat,XL,Green,16.99,Silk
Shoes,S,Black,173.2,Polyester
Tie,XL,Green,107.13,Wool
Socks,XS,White,11.89,Polyester
Tie,L,Black,100.29,Silk
Vest,S,Black,73.62,Wool
Blouse,S,Red,87.38,Silk
Coat,L,White,182.46,Polyester
Leggings,M,Green,79.67,Wool
Socks,L,Red,73.81,Polyester
Skirt,L,Black,107.72,Silk
Hat,S,Yellow,57.53,Denim
Coat,S,Green,18.5,Polyester
Leggings,M,Red,138.35,Wool
Hat,XS,White,10.03,Denim
Gloves,S,Red,71.65,Silk
Cardigan,L,White,30.52,Cotton
Coat,M,Black,100.91,Cotton
Scarf,M,Green,104.34,Polyester
Shorts,M,Green,116.53,Polyester
T-shirt,XL,Blue,171.25,Wool
Vest,S,Blue,121.17,Silk
Jeans,M,Green,148.3,Cotton
Coat,XS,Black,24.85,Cotton
Gloves,XL,Green,174.9,Denim
Polo,M,Yellow,184.59,Polyester
Gloves,S,Black,23.06,Wool
Coat,S,Blue,54.86,Polyester
Shoes,L,Blue,45.95,Cotton
Sweater,L,Green,115.53,Denim
Shorts,S,Black,17.86,Wool
Coat,XL,White,193.7,Polyester
Dress,L,Green,189.04,Wool
Polo,L,Blue,85.1,Silk
Shoes,S,Green,146.53,Cotton
Leggings,L,Green,131.71,Wool
Socks,M,Yellow,148.93,Denim
Leggings,L,Black,132.13,Silk
Coat,XS,Blue,66.17,Denim
Socks,L,Red,68.43,Denim
Scarf,M,Yellow,48.33,Polyester
Tie,XS,White,18.2,Wool
Gloves,XS,Green,151.19,Silk
Tie,L,Red,151.17,Silk
Jacket,M,Black,63.76,Polyester
Scarf,S,White,118.92,Silk
Belt,XS,Green,98.36,Polyester
Shoes,XS,Blue,180.6,Silk
Coat,L,Green,139.48,Cotton
T-shirt,XS,Green,90.86,Polyester
Cardigan,XL,Green,34.62,Polyester
