id_variant,id,title,season,hexadecimal,name,family_id,id_hex,top_type,finishing,adventurous,closing,weather,neck,detail,print,style,fit,sleeve,sleeve_long,sizing,application,composition,fabric,hip_contour,waist_contour,chest_contour,sleeve_long_cm,long_cm,gripper,basic,down_part_type,bottom,type_of_length,shot,neckline,outside_type,thicknees,cover,light,alerts,cut,rubber_waist,label,dress_type,foulard_type,size,skirt_type,message,hood,back_neckline,shoulders_pad,bag_type,hips_volume,chest_volume
fbc2f719-e038-4243-892c-7bd2ca6e80b5,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf,Onljade Cardigan knit ,8,000000,BRAND119,141f32d6-a5af-49bf-b019-fd28354977f1,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf_000000,cardigan,ribbed,two,without_closing,cold_season,turtleneck,plaston_pocket,smooth,classic,straight,basic_sleeve,long_sleeve,big,freetime,polyester,jersey,58,54,59,58,94,false,false,,,,,,,,,,,,,,,,,,,,,,,,
c85666c0-a8ba-42f4-a30f-17687ad51ff5,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf,Onljade Cardigan knit ,8,DFC8B2,BRAND119,141f32d6-a5af-49bf-b019-fd28354977f1,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf_DFC8B2,cardigan,ribbed,two,without_closing,cold_season,turtleneck,plaston_pocket,smooth,classic,straight,basic_sleeve,long_sleeve,big,freetime,polyester,jersey,58,54,59,58,94,false,false,,,,,,,,,,,,,,,,,,,,,,,,
93db9797-3a66-4889-be9c-5d3522da96a1,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf,Onljade Cardigan knit ,8,B94600,BRAND119,141f32d6-a5af-49bf-b019-fd28354977f1,5f5c4a50-557a-4d53-9e81-cc72fdd18fbf_B94600,cardigan,ribbed,two,without_closing,cold_season,turtleneck,plaston_pocket,smooth,classic,straight,basic_sleeve,long_sleeve,big,freetime,polyester,jersey,58,54,59,58,94,false,false,,,,,,,,,,,,,,,,,,,,,,,,
0c1010aa-2f25-4c55-9f95-b9bc133f3307,6e6b4255-006a-4d13-b312-3b1426290d8e,Poly Pant deeluxe,7,B11730,BRAND117,6598b655-3e19-448c-8b4f-ff6a29447b34,6e6b4255-006a-4d13-b312-3b1426290d8e_B11730,,,two,fly,warm_season,,belt_loop,smooth,street,tight,,,normal,freetime,elastane,twill,49,38,,,96,false,false,cigarette,straight_pants,long,high,,,,,,,,,,,,,,,,,,,,
215a323c-9721-4879-9aa6-5cf30b5b21f0,6549c1b1-989e-432a-bdc9-b603c438b310,Onleden Sweater knt,9,FFFF00,BRAND119,1b93b30c-833f-45a8-ba69-c21d2e7f4824,6549c1b1-989e-432a-bdc9-b603c438b310_FFFF00,sweaters,,two,without_closing,warm_season,,,smooth,boho,loose,raglan_sleeve,long_sleeve,big_1,freetime,cotton,jersey,51,58,61,58,58,false,false,,,,,closed_round_neckline,,,,,,,,,,,,,,,,,,,
ee66d82d-6daf-492b-b0ef-9be4c26af867,6549c1b1-989e-432a-bdc9-b603c438b310,Onleden Sweater knt,9,ECE9D6,BRAND119,1b93b30c-833f-45a8-ba69-c21d2e7f4824,6549c1b1-989e-432a-bdc9-b603c438b310_ECE9D6,sweaters,,two,without_closing,warm_season,,,smooth,boho,loose,raglan_sleeve,long_sleeve,big_1,freetime,cotton,jersey,51,58,61,58,58,false,false,,,,,closed_round_neckline,,,,,,,,,,,,,,,,,,,
701abe68-67b9-4bdd-a472-cb68c1dc6718,6549c1b1-989e-432a-bdc9-b603c438b310,Onleden Sweater knt,9,00008b,BRAND119,1b93b30c-833f-45a8-ba69-c21d2e7f4824,6549c1b1-989e-432a-bdc9-b603c438b310_00008b,sweaters,,two,without_closing,warm_season,,,smooth,boho,loose,raglan_sleeve,long_sleeve,big_1,freetime,cotton,jersey,51,58,61,58,58,false,false,,,,,closed_round_neckline,,,,,,,,,,,,,,,,,,,
86bbcf2d-77b5-49af-b2bd-e90125ea028d,dace6963-7e84-4cef-a153-3c6fb29cc7c3,Cerise Jacket print,8,00008b,BRAND15,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,dace6963-7e84-4cef-a153-3c6fb29cc7c3_00008b,,,three,zip,warm_season,,sparkly,floral,street,loose,rubber_sleeve,long_sleeve,normal,freetime,polyester,crepe,44,56,56,65,64,false,false,,,,,,bomber,thin,true,true,,,,,,,,,,,,,,,
85fb852f-07fe-47f2-a7df-9868e20ea112,dace6963-7e84-4cef-a153-3c6fb29cc7c3,Cerise Jacket print,8,000000,BRAND15,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,dace6963-7e84-4cef-a153-3c6fb29cc7c3_000000,,,three,zip,warm_season,,sparkly,floral,street,loose,rubber_sleeve,long_sleeve,normal,freetime,polyester,crepe,44,56,56,65,64,false,false,,,,,,bomber,thin,true,true,,,,,,,,,,,,,,,
d9bcde7d-cb40-4080-bb89-5cc96e2c1081,d6679919-7a49-4edd-bd04-982289d0e8ac,Auttum Shirt hippie,8,164A0A,BRAND4,c59807ac-0362-4078-94b0-37ea3df6cdd0,d6679919-7a49-4edd-bd04-982289d0e8ac_164A0A,shirt,,three,hidden_buttoning,warm_season,shirt_collar,plaston_pocket,sheets,classic,loose,shirt_sleeve,long_sleeve,normal,work,polyester,crepe,54,50,50,59,73,true,false,,,,,high_neck,,,,,breastfeeding,back_yoke_cut,,,,,,,,,,,,,
767eb753-3127-4701-9faa-cfca7b7ffa1e,d6679919-7a49-4edd-bd04-982289d0e8ac,Auttum Shirt hippie,8,C19A6B,BRAND4,c59807ac-0362-4078-94b0-37ea3df6cdd0,d6679919-7a49-4edd-bd04-982289d0e8ac_C19A6B,shirt,,three,hidden_buttoning,warm_season,shirt_collar,plaston_pocket,sheets,classic,loose,shirt_sleeve,long_sleeve,normal,work,polyester,crepe,54,50,50,59,73,true,false,,,,,high_neck,,,,,breastfeeding,back_yoke_cut,,,,,,,,,,,,,
0a18e734-65c3-42ee-9b2d-473132ab27c7,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,9,000000,BRAND15,1dc55e58-a5c3-462c-b73d-8dd480de90fc,350b09b1-9156-468f-a7e8-b99cec0d6f6e_000000,,marbled,two,without_closing,warm_season,,pleats,smooth,minimal,straight,,,normal,working_girl,polyester,thread,52,37,,,94,false,false,cigarett,straight_pants,long,medium,,,,,,,,true,,,,,,,,,,,,
ee8537ec-4c0a-43b7-b17b-d4714219cd28,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,9,00008b,BRAND15,1dc55e58-a5c3-462c-b73d-8dd480de90fc,350b09b1-9156-468f-a7e8-b99cec0d6f6e_00008b,,marbled,two,without_closing,warm_season,,pleats,smooth,minimal,straight,,,normal,working_girl,polyester,thread,52,37,,,94,false,false,cigarett,straight_pants,long,medium,,,,,,,,true,,,,,,,,,,,,
66cea26d-f7b8-4f3b-a258-ef57c5890dad,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,9,D3D3D3,BRAND15,1dc55e58-a5c3-462c-b73d-8dd480de90fc,350b09b1-9156-468f-a7e8-b99cec0d6f6e_D3D3D3,,marbled,two,without_closing,warm_season,,pleats,smooth,minimal,straight,,,normal,working_girl,polyester,thread,52,37,,,94,false,false,cigarett,straight_pants,long,medium,,,,,,,,true,,,,,,,,,,,,
4cbc389c-34db-46c9-808e-5e7439b40526,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,9,666633,BRAND15,1dc55e58-a5c3-462c-b73d-8dd480de90fc,350b09b1-9156-468f-a7e8-b99cec0d6f6e_666633,,marbled,two,without_closing,warm_season,,pleats,smooth,minimal,straight,,,normal,working_girl,polyester,thread,52,37,,,94,false,false,cigarett,straight_pants,long,medium,,,,,,,,true,,,,,,,,,,,,
c3f7a2e3-e28b-49a7-b259-8411ecb41354,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,9,462C0E,BRAND15,1dc55e58-a5c3-462c-b73d-8dd480de90fc,350b09b1-9156-468f-a7e8-b99cec0d6f6e_462C0E,,marbled,two,without_closing,warm_season,,pleats,smooth,minimal,straight,,,normal,working_girl,polyester,thread,52,37,,,94,false,false,cigarett,straight_pants,long,medium,,,,,,,,true,,,,,,,,,,,,
91f353f7-edfa-4bb9-a245-aa008813aa5e,965805d4-5a1a-4779-a42a-b10866deef3d,Billary Top closet,9,000000,BRAND167,95f835a3-03fe-40f1-a813-4fbfd2842845,965805d4-5a1a-4779-a42a-b10866deef3d_000000,t-shirts,,two,button_back,warm_season,,,sheets,boho,straight,basic_sleeve,short_sleeve,normal,freetime,elastane,batiste,62,62,62,31,71,false,false,,,,,closed_round_neckline,,,,,,,,,,,,,,,,,,,
abee04a8-137e-4f51-a932-537d66fa086b,f7b1efdf-c846-4ee2-8454-19c628097adb,Panthy Top closet,9,0053a5,BRAND167,95f835a3-03fe-40f1-a813-4fbfd2842845,f7b1efdf-c846-4ee2-8454-19c628097adb_0053a5,t-shirts,,two,button_back,warm,,,sheets,boho,straight,basic_sleeve,short_sleeve,normal,freetime,elastane,batiste,62,62,62,31,71,false,false,,,,,closed_round_neckline,,,,,,,,,,,,,,,,,,,
